combined
brain_ astrocytes
brain_ excitatory neurons
brain_ microglial cells
brain_ oligodendrocytes
brain_ inhibitory neurons
brain_ astrocytes
brain_ excitatory neurons
brain_ inhibitory neurons
brain_ microglial cells
brain_ oligodendrocytes
eye_ bipolar cells
eye_ horizontal cells
eye_ rod photoreceptor cells
eye_ cone photoreceptor cells
eye_ muller glia cells
heart muscle_ cardiomyocytes
heart muscle_ endothelial cells
heart muscle_ smooth muscle cells
heart muscle_ fibroblasts
heart muscle_ endothelial cells
small intestine_ enteroendocrine cells
small intestine_ proximal enterocytes
small intestine_ intestinal goblet cells
small intestine_ paneth cells
colon_ distal enterocytes
colon_ intestinal goblet cells
colon_ enteroendocrine cells
colon_ paneth cells
small intestine_ mixed immune cells
colon_ t-cells
small intestine_ mixed immune cells
kidney_ t-cells
kidney_ b-cells
kidney_ proximal tubular cells
kidney_ distal tubular cells
kidney_ collecting duct cells
kidney_ macrophages
liver_ erythroid cells
liver_ t-cells
liver_ plasma cells
liver_ b-cells
liver_ kupffer cells
liver_ kupffer cells
liver_ endothelial cells
lung_ alveolar cells type 1
lung_ alveolar cells type 2
lung_ club cells
lung_ ciliated cells
lung_ endothelial cells
lung_ endothelial cells
lung_ t-cells
lung_ b-cells
lung_ macrophages
lung_ granulocytes
lung_ fibroblasts
skeletal muscle_ endothelial cells
skeletal muscle_ endothelial cells
skeletal muscle_ t-cells
skeletal muscle_ macrophages
skeletal muscle_ skeletal myocytes
skeletal muscle_ smooth muscle cells
skeletal muscle_ fibroblasts
pancreas_ exocrine glandular cells
pancreas_ ductal cells
pancreas_ pancreatic endocrine cells
pancreas_ endothelial cells
pancreas_ endothelial cells
pancreas_ macrophages
pancreas_ fibroblasts
spleen_ t-cells
spleen_ b-cells
spleen_ plasma cells
spleen_ macrophages
stomach_ t-cells
stomach_ b-cells
stomach_ plasma cells
stomach_ macrophages
stomach_ gastric mucus-secreting cells
stomach_ fibroblasts
thymus_ b-cells
thymus_ macrophages
thymus_ fibroblasts
thymus_ endothelial cells
