"","Var1","Freq"
"301","FOLR3",12
"302","GHRL",12
"303","HSD11B1",12
"304","IDUA",12
"305","IL18R1",12
"306","IL1R2",12
"307","IL1RL2",12
"308","IL7R",12
"309","KLK14",12
"310","LAG3",12
"311","LAMA4",12
"312","LAMB1",12
"313","LILRA2",12
"314","LILRB1",12
"315","LTBR",12
"316","LYPD8",12
"317","MAMDC2",12
"318","MARCO",12
"319","MZB1",12
"320","PLXNB2",12
"321","PRCP",12
"322","PRSS2",12
"323","PTPRB",12
"324","PYDC1",12
"325","QPCT",12
"326","ROR1",12
"327","SELL",12
"328","SIRPB1",12
"329","SMOC1",12
"330","TIE1",12
"331","TNFRSF17",12
"332","TNFRSF21",12
"333","TNFSF10",12
"334","VCAM1",12
"335","VEGFA",12
"336","XCL1",12
"337","ADGRG1",11
"338","AGRP",11
"339","AHSP",11
"340","AOC3",11
"341","ARSB",11
"342","BST2",11
"343","BTD",11
"344","CA4",11
"345","CCL21",11
"346","CCL5",11
"347","CD200R1",11
"348","CD300A",11
"349","CD84",11
"350","CDH5",11
"351","CLEC4G",11
"352","COL5A1",11
"353","CSPG4",11
"354","CXCL5",11
"355","CXCL8",11
"356","DSC2",11
"357","ENPP7",11
"358","EPHB4",11
"359","ERBB2",11
"360","FCAR",11
"361","FCN2",11
"362","FLRT2",11
"363","GALNT3",11
"364","GLB1",11
"365","GZMB",11
"366","IL18",11
"367","IL6ST",11
"368","ITGB2",11
"369","ITGB6",11
"370","KLK13",11
"371","L1CAM",11
"372","LAMP3",11
"373","LIFR",11
"374","LRP1",11
"375","MENT",11
"376","MXRA8",11
"377","NRP2",11
"378","PEAR1",11
"379","PLA2G15",11
"380","PLAU",11
"381","PLTP",11
"382","PTPRH",11
"383","PTPRM",11
"384","PTPRZ1",11
"385","RNASET2",11
"386","S100A14",11
"387","SEPTIN3",11
"388","SIGLEC9",11
"389","SLAMF7",11
"390","SPINT1",11
"391","SPP1",11
"392","SSC5D",11
"393","TEK",11
"394","TFPI2",11
"395","TGFBI",11
"396","TMEM106A",11
"397","TNFRSF11B",11
"398","ACE2",10
"399","ACP5",10
"400","ADGRE5",10
"401","AGXT",10
"402","ASGR2",10
"403","BCL2L11",10
"404","C1QL2",10
"405","C1QTNF5",10
"406","C1QTNF9",10
"407","CA12",10
"408","CD209",10
"409","CD80",10
"410","CD99L2",10
"411","CHAD",10
"412","CLEC14A",10
"413","CLUL1",10
"414","CNTN4",10
"415","COL1A1",10
"416","COL4A1",10
"417","CRYGD",10
"418","DNER",10
"419","ERN1",10
"420","F11R",10
"421","FGFBP2",10
"422","GALNT7",10
"423","GFRAL",10
"424","GOLM2",10
"425","GP1BB",10
"426","GPR37",10
"427","GRN",10
"428","GZMH",10
"429","HGFAC",10
"430","HPSE",10
"431","HS3ST3B1",10
"432","IFNGR1",10
"433","IFNGR2",10
"434","IL17RB",10
"435","ITGAM",10
"436","KLB",10
"437","KLRK1",10
"438","KRT18",10
"439","LGALS3BP",10
"440","LILRA5",10
"441","LILRB2",10
"442","LTA",10
"443","MAN1A2",10
"444","MMP9",10
"445","NCR3LG1",10
"446","OPTC",10
"447","OSCAR",10
"448","OSM",10
"449","OXT",10
"450","PAPPA",10
"451","PEPD",10
"452","PLA2G7",10
"453","POMC",10
"454","PROC",10
"455","PRSS53",10
"456","PRTG",10
"457","PSAP",10
"458","RTN4R",10
"459","SELE",10
"460","SELPLG",10
"461","SERPINA11",10
"462","SERPING1",10
"463","SIGLEC1",10
"464","SLC39A5",10
"465","SLC51B",10
"466","SPINK2",10
"467","TFF2",10
"468","TGFB1",10
"469","VAT1",10
"470","VIT",10
"471","VNN2",10
"472","VSIG4",10
"473","ADAMTSL2",9
"474","ADIPOQ",9
"475","AMBP",9
"476","AMY1A_AMY1B_AMY1C",9
"477","AMY2B",9
"478","APOL1",9
"479","B4GAT1",9
"480","BGLAP",9
"481","CCL2",9
"482","CCL27",9
"483","CCL8",9
"484","CCN1",9
"485","CD164",9
"486","CD40",9
"487","CD72",9
"488","CDA",9
"489","CDCP1",9
"490","CDHR2",9
"491","CEACAM16",9
"492","CES3",9
"493","CKMT1A_CKMT1B",9
"494","CLPS",9
"495","CLSTN3",9
"496","CSF3R",9
"497","CST1",9
"498","CTSE",9
"499","CXCL11",9
"500","CXCL12",9
"501","CXCL6",9
"502","DBH",9
"503","DLL1",9
"504","ELN",9
"505","ENG",9
"506","ENPP2",9
"507","ENTPD5",9
"508","ENTPD6",9
"509","ERMAP",9
"510","ESM1",9
"511","F10",9
"512","F2R",9
"513","F3",9
"514","FOLR1",9
"515","FSTL1",9
"516","GALNT10",9
"517","GALNT5",9
"518","HEG1",9
"519","HEPH",9
"520","ICAM5",9
"521","IGF1R",9
"522","IL10RB",9
"523","IL2RA",9
"524","INSR",9
"525","KIRREL2",9
"526","LTBP2",9
"527","MBL2",9
"528","MCAM",9
"529","MELTF",9
"530","MICB_MICA",9
"531","MYL3",9
"532","MYOC",9
"533","MYOM3",9
"534","NCAM1",9
"535","NPTX2",9
"536","NRP1",9
"537","NTRK3",9
"538","PCDH17",9
"539","PCDH9",9
"540","PCSK9",9
"541","PDGFRA",9
"542","PLAUR",9
"543","PPY",9
"544","PRSS8",9
"545","REG3A",9
"546","RSPO1",9
"547","SCARF1",9
"548","SCARF2",9
"549","SELP",9
"550","SEMA3G",9
"551","SIAE",9
"552","SIGLEC10",9
"553","SIGLEC7",9
"554","SKAP1",9
"555","ST3GAL1",9
"556","ST6GAL1",9
"557","STC2",9
"558","TFPI",9
"559","TGFBR2",9
"560","TNFRSF11A",9
"561","TNFSF11",9
"562","TNFSF13B",9
"563","TOP1",9
"564","TREM2",9
"565","ADAM15",8
"566","ADAM8",8
"567","ADGRE2",8
"568","ADGRG2",8
"569","AMY2A",8
"570","APOF",8
"571","APOM",8
"572","APRT",8
"573","ARSA",8
"574","BMP10",8
"575","BOC",8
"576","BRK1",8
"577","BSG",8
"578","CCL14",8
"579","CCL23",8
"580","CCL26",8
"581","CCL3",8
"582","CD200",8
"583","CD300E",8
"584","CD302",8
"585","CD33",8
"586","CD46",8
"587","CD5",8
"588","CD74",8
"589","CDHR5",8
"590","CFB",8
"591","CFC1",8
"592","CFHR4",8
"593","CFHR5",8
"594","CFP",8
"595","CLEC11A",8
"596","CLEC4D",8
"597","CNDP1",8
"598","CNTN5",8
"599","CRLF1",8
"600","CRYBB1",8
"601","CTSC",8
"602","CX3CL1",8
"603","CXCL13",8
"604","DPEP1",8
"605","DPP7",8
"606","DSCAM",8
"607","DSG2",8
"608","ENPP5",8
"609","EPO",8
"610","ERBB3",8
"611","EREG",8
"612","ESAM",8
"613","F7",8
"614","FAM3B",8
"615","FCRL6",8
"616","FKBP14",8
"617","FLT1",8
"618","GALNT2",8
"619","GFAP",8
"620","GP2",8
"621","GPC5",8
"622","GRP",8
"623","GSTA1",8
"624","GUCA2A",8
"625","HAO1",8
"626","HAVCR1",8
"627","HAVCR2",8
"628","IDO1",8
"629","IGLC2",8
"630","IL18BP",8
"631","IL1RAP",8
"632","ITGA11",8
"633","ITGA6",8
"634","ITIH3",8
"635","ITPR1",8
"636","JAM3",8
"637","KLK11",8
"638","LECT2",8
"639","LEPR",8
"640","LGALS3",8
"641","LPL",8
"642","LRRN1",8
"643","LTBP3",8
"644","MB",8
"645","MFAP4",8
"646","MSLN",8
"647","MUC2",8
"648","NAGPA",8
"649","NCS1",8
"650","NOTCH1",8
"651","NRCAM",8
"652","NXPH3",8
"653","OMD",8
"654","OMG",8
"655","PDCD1LG2",8
"656","PILRA",8
"657","PLXDC2",8
"658","PM20D1",8
"659","PON3",8
"660","PRR4",8
"661","RET",8
"662","SCG3",8
"663","SCLY",8
"664","SEZ6L",8
"665","SGSH",8
"666","SIRPA",8
"667","SLITRK6",8
"668","SNAP25",8
"669","SUSD5",8
"670","THBS2",8
"671","TINAGL1",8
"672","TNFRSF1A",8
"673","TNFRSF8",8
"674","TNFSF13",8
"675","TREML1",8
"676","TREML2",8
"677","TRIAP1",8
"678","TTR",8
"679","ULBP2",8
"680","VEGFD",8
"681","VSIR",8
"682","ZBTB16",8
"683","ZNRD2",8
"684","ACY3",7
"685","AGRN",7
"686","ANGPTL3",7
"687","ANGPTL7",7
"688","APOA1",7
"689","APOC1",7
"690","ASAH1",7
"691","ASGR1",7
"692","ASS1",7
"693","ATOX1",7
"694","AXL",7
"695","BTN2A1",7
"696","CA3",7
"697","CA9",7
"698","CALCA",7
"699","CALCOCO2",7
"700","CANT1",7
"701","CCL22",7
"702","CCL4",7
"703","CD101",7
"704","CD14",7
"705","CD274",7
"706","CD55",7
"707","CDH1",7
"708","CDH3",7
"709","CDKN1A",7
"710","CEACAM1",7
"711","CETN3",7
"712","CHGA",7
"713","CHGB",7
"714","CLEC1B",7
"715","COL28A1",7
"716","COMP",7
"717","CPA4",7
"718","CPB2",7
"719","CPE",7
"720","CTSB",7
"721","CTSS",7
"722","DKK3",7
"723","DLK1",7
"724","ELAC1",7
"725","EPHA2",7
"726","ERP44",7
"727","FCRLB",7
"728","FGF21",7
"729","FGFR2",7
"730","FGL1",7
"731","FKBP4",7
"732","FUCA1",7
"733","FUOM",7
"734","GCNT1",7
"735","GGT1",7
"736","GPRC5C",7
"737","HBZ",7
"738","HEXIM1",7
"739","HSPB6",7
"740","ICAM1",7
"741","IL32",7
"742","IL4R",7
"743","INHBB",7
"744","INHBC",7
"745","ISLR2",7
"746","ITGA2",7
"747","ITGB1",7
"748","ITGB5",7
"749","JAM2",7
"750","KAZALD1",7
"751","KYAT1",7
"752","LAMP1",7
"753","LGALS7_LGALS7B",7
"754","LGALS8",7
"755","LRPAP1",7
"756","LY75",7
"757","MANF",7
"758","MAP2",7
"759","MILR1",7
"760","MST1",7
"761","MYBPC1",7
"762","MYH9",7
"763","NCAM2",7
"764","NECTIN2",7
"765","NHLRC3",7
"766","NPDC1",7
"767","NPL",7
"768","NTRK2",7
"769","OLR1",7
"770","PCBD1",7
"771","PCDH1",7
"772","PDGFC",7
"773","PECAM1",7
"774","PKD1",7
"775","PLXNB3",7
"776","POSTN",7
"777","PSG1",7
"778","PTPRC",7
"779","PTPRS",7
"780","PVALB",7
"781","PYY",7
"782","RECK",7
"783","RSPO3",7
"784","S100P",7
"785","SEMA3F",7
"786","SEMA4C",7
"787","SERPINA12",7
"788","SERPINA5",7
"789","SERPIND1",7
"790","SEZ6L2",7
"791","SFTPA2",7
"792","SIT1",7
"793","SOD2",7
"794","SOD3",7
"795","SPINK4",7
"796","SPINK5",7
"797","SPON1",7
"798","SPRY2",7
"799","SUOX",7
"800","TGFBR3",7
"801","TIMP4",7
"802","TLR3",7
"803","TMPRSS15",7
"804","TMSB10",7
"805","TNFRSF1B",7
"806","TNN",7
"807","TPK1",7
"808","TYRO3",7
"809","UXS1",7
"810","VMO1",7
"811","VSNL1",7
"812","VWA1",7
"813","ZP3",7
"814","ACADSB",6
"815","ACHE",6
"816","ACOT13",6
"817","ADAM22",6
"818","ADAM23",6
"819","ADAM9",6
"820","AMOT",6
"821","ANGPT2",6
"822","ANGPTL1",6
"823","ANPEP",6
"824","ARHGEF10",6
"825","ASPN",6
"826","B4GALT1",6
"827","BCAN",6
"828","C19orf12",6
"829","CCDC80",6
"830","CCL16",6
"831","CCL19",6
"832","CD109",6
"833","CD27",6
"834","CD276",6
"835","CD300LF",6
"836","CD69",6
"837","CDH6",6
"838","CEACAM19",6
"839","CHI3L1",6
"840","CHIT1",6
"841","CHL1",6
"842","CHRDL1",6
"843","CLEC1A",6
"844","CLEC4M",6
"845","CNTN1",6
"846","CNTN2",6
"847","COQ7",6
"848","CRIM1",6
"849","CSF2RB",6
"850","CTSD",6
"851","CXADR",6
"852","CXCL17",6
"853","DAAM1",6
"854","DCTPP1",6
"855","DCXR",6
"856","DDC",6
"857","DIPK2B",6
"858","DKK4",6
"859","DKKL1",6
"860","DNAJB1",6
"861","DNM3",6
"862","DPP6",6
"863","DUT",6
"864","ECE1",6
"865","EFNA4",6
"866","EGFR",6
"867","ENO2",6
"868","EPHA1",6
"869","EPHA4",6
"870","F12",6
"871","FAP",6
"872","FCGR2A",6
"873","FGF2",6
"874","FGF23",6
"875","FIS1",6
"876","FKBP1B",6
"877","FLT3",6
"878","GADD45GIP1",6
"879","GAST",6
"880","GFRA2",6
"881","GP5",6
"882","GP6",6
"883","HGF",6
"884","HMCN2",6
"885","HRC",6
"886","HSPB1",6
"887","IFNAR1",6
"888","IL10",6
"889","IL6R",6
"890","ITGBL1",6
"891","KLK10",6
"892","KLK7",6
"893","KLKB1",6
"894","KYNU",6
"895","L3HYPDH",6
"896","LACRT",6
"897","LBR",6
"898","LEFTY2",6
"899","LRRC37A2",6
"900","LZTFL1",6
"901","MATN2",6
"902","MDGA1",6
"903","MFAP5",6
"904","MIA",6
"905","MPO",6
"906","NAP1L4",6
"907","NFASC",6
"908","NFU1",6
"909","NPTXR",6
"910","OSMR",6
"911","P4HB",6
"912","PAG1",6
"913","PCDH12",6
"914","PCDHB15",6
"915","PDCD6",6
"916","PGA4",6
"917","PGD",6
"918","PIGR",6
"919","PIK3AP1",6
"920","PILRB",6
"921","PLA2G2A",6
"922","PLXDC1",6
"923","PMVK",6
"924","PNMA1",6
"925","PODXL",6
"926","PRND",6
"927","PROS1",6
"928","PSCA",6
"929","PTGR1",6
